"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"2370.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Електротехничар мултимедија","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","7","0","0","0"
"2371.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Администратор рачунарских мрежа","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","2","0","0","0","1","0","0","16","0","0","0","0"
"2372.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Механичар моторних возила","3","Српски језик","1","0","0","35","0","0","0","0","1","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2373.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Електротехничар информационих технологија","4","Српски језик","1","0","0","28","0","0","0","0","1","0","0","28","0","0","0","0","1","0","0","22","0","0","0","0","1","0","0","13","1","0","0","0"
"2374.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Техничар за компјутерско управљање (CNC) машина","4","Српски језик","1","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2375.","1660","Државно","Рашки управни округ","Рашка","Гимназија","Гимназија","Природно - математички смер","4","Српски језик","2","0","0","55","36","0","0","0","2","0","0","44","18","0","0","0","2","0","0","61","35","0","0","0","2","0","0","57","37","0","0","0"
"2376.","1660","Државно","Рашки управни округ","Рашка","Гимназија","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","2","0","0","29","11","0","0","0","2","0","0","35","23","0","0","0","2","0","0","37","23","0","0","0","2","0","0","49","25","0","0","0"
"2377.","1661","Државно","Рашки управни округ","Рашка","Средња школа Краљица Јелена","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","17","3","0","0","0","1","0","0","17","6","0","1","0","1","0","0","18","4","0","0","0"
"2378.","1661","Државно","Рашки управни округ","Рашка","Средња школа Краљица Јелена","Машинство и обрада метала","Бравар","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","0","0","2","0","0","0","0","0","0","0","0","0"
"2379.","1661","Државно","Рашки управни округ","Рашка","Средња школа Краљица Јелена","Машинство и обрада метала","Аутомеханичар","3","Српски језик","1","0","0","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
